"	Most Completed Swaps of a Face Swap Card"


"	product_id","	Face Swap Completed--All Users"
"	67816ae75990fc276575cd07","	587.0"
"	6855c0b6ebba0773538e8a15","	330.0"
"	66facc0a21fd6d6f34901ae6","	308.0"
"	66e01c85ded8e0212043629d","	232.0"
"	68097dd5b46c0a5b4e3543f8","	229.0"
"	68497934ad723e68b9792266","	217.0"
"	67d219a67d3f9803484845be","	209.0"
"	680b65d36010d4505cbac642","	192.0"
"	6854af2294654d25b467e33b","	179.0"
"	680b635ab4259a1b1933d009","	169.0"
"	680b651fe5a5d97911059508","	166.0"
"	68470d697fd84e35a7c920ea","	153.0"
"	67c6da4db6fbc326d4bcaafb","	139.0"
"	67c5d88150ca0b7dedab7d56","	136.0"
"	6855c9e992228930bed19c3f","	134.0"
"	682f6547d34bfb25d3590120","	132.0"
"	6806c1a93e7fe4028a4b7cb0","	122.0"
"	67a5f37990a11d443906b288","	118.0"
"	6806ad073175fb6967ec2768","	111.0"
"	66e450c1e69c5e3a7f18b418","	110.0"
"	67e4a3f547a3fa65b3760e43","	108.0"
"	6815e812b4259a1b1933d422","	102.0"
"	68470f0a7ecd4e71abd58c2a","	99.0"
"	678e67f42c87c917d7245ad0","	94.0"
"	67a22d9106eb6b5e764650bc","	93.0"
"	66ea83ce2975504ebe65683b","	90.0"
"	6820935e0e882b1e7d33c35a","	89.0"
"	67d74ecad0233971de129ade","	87.0"
"	68097b1dbb56f6239add6126","	81.0"
"	6777c050a299974521069bf8","	81.0"
"	68593e713899a731a226e2ad","	77.0"
"	6852fec63d1cb20b6bcd125b","	71.0"
"	681c82aa350ec064a9c7cd4e","	70.0"
"	680ad248792d2e79bfcc58b2","	69.0"
"	680aeb31b958bb5b697f9ac3","	68.0"
"	67cb9f8d10bdd8423d639fba","	64.0"
"	67a1439740d8364428171148","	64.0"
"	677808cab815ad6affbffb46","	64.0"
"	68593e0ea3a942594089bf33","	63.0"
"	681ea1d23e525f60b97adbb1","	62.0"
"	681ea022de466a0fd55da6e7","	62.0"
"	67c1b2ae92d0c241d3aae11f","	58.0"
"	67d21c5ab3f442066e05ad9e","	57.0"
"	67efedb5e4544e5da1017655","	57.0"
"	684dcfb003c7c03d509a1b0c","	56.0"
"	679a4cb741e9b93cc548ab61","	54.0"
"	68211be9de466a0fd55da7e8","	54.0"
"	6798af0d04017d3ca8ca9299","	52.0"
"	6854a31845b1cb7642027363","	52.0"
"	66e9bb741eb98874f1c8e659","	51.0"
"	68002209792d2e79bfcc54bc","	51.0"
"	67c1b2bbf28acf139f8e2068","	50.0"
"	6830b56f893cf25ab7e19e1c","	50.0"
"	67a0932c04655d57205bde42","	49.0"
"	682518733d91122735d3f867","	48.0"
"	678e6adbd7b0de7c54a7d810","	47.0"
"	6731584b8dac692b4badbc21","	47.0"
"	66e44fc143ba866de18f3d1c","	47.0"
"	678fb40b5ad00933f5c6a4d1","	47.0"
"	683f65ff88f8f211b692d878","	47.0"
"	66fbfb32cca83c52e5c2d99d","	46.0"
"	66e457feb0919b6cfaa52e0f","	45.0"
"	67e5efc33f57af38d7663b05","	45.0"
"	67fd8d9a3175fb6967ec253b","	44.0"
"	68290a98893cf25ab7e19aaf","	44.0"
"	681a8e6ede466a0fd55da4cb","	44.0"
"	678e730a8160942a14b7ca50","	43.0"
"	6806b4616010d4505cbac471","	42.0"
"	6806b0a5e5a5d9791105935d","	42.0"
"	679b7dda9f1584566fd734f1","	42.0"
"	66dec591f7961f350d9079b7","	41.0"
"	676443a2ca84ca57b0f369dc","	40.0"
"	66fac69cc9ebfa768b893513","	40.0"
"	684b11f27912837cf39f7155","	39.0"
"	66e7e93ae69c5e3a7f18b538","	38.0"
"	680e54a23e7fe4028a4b7ef8","	38.0"
"	67a1100441e9b93cc548b351","	36.0"
"	66ea8528d9222747ddb2b564","	36.0"
"	68098ade3175fb6967ec2860","	35.0"
"	686302498d21f55a11738462","	34.0"
"	67c061858c85244fa503c593","	34.0"
"	67e336d48a585612c5067320","	34.0"
"	67b275f1a965f252676ff65a","	33.0"
"	67e4a46b47a3fa65b3760e44","	33.0"
"	68079efcb46c0a5b4e35431f","	32.0"
"	67fd942b792d2e79bfcc5393","	32.0"
"	66facaf743e81f36cd7b2ab6","	32.0"
"	6817ca046010d4505cbacb70","	32.0"
"	680e523f6010d4505cbac705","	31.0"
"	6843750b88f8f211b692db31","	31.0"
"	66e405c08fcbfd7feb55f2c4","	31.0"
"	67c5de24c9dbe201d9771ab6","	31.0"
"	680ae7223e7fe4028a4b7e48","	30.0"
"	6777c02d61d6932ec1a74823","	30.0"
"	66facb61c9ebfa768b893519","	30.0"
"	66fac6457112b52af9863fc3","	29.0"
"	682cdb4762ca674064b0830b","	29.0"
"	68532b5994654d25b467e2a4","	29.0"
"	67e4748a108a6f0530ce84a6","	29.0"
"	680ae623b958bb5b697f9ac0","	29.0"
"	66deb3f629670e4d846e1b59","	29.0"
"	681a75e73e525f60b97ad997","	28.0"
"	66fa9dae84f2b9583673aae9","	28.0"
"	679cc87f3cf85401410fe29c","	27.0"
"	67fd9e633e7fe4028a4b7aa9","	27.0"
"	67df6ba43f57af38d76633a0","	27.0"
"	67cb8591b3f442066e05a9e1","	27.0"
"	680ecc38b4259a1b1933d0cf","	27.0"
"	67a97aceb426242eb640d955","	26.0"
"	66fac7d384f2b9583673ab08","	26.0"
"	66e4519c43ba866de18f3d1e","	26.0"
"	684cbf347e37db1391f8c888","	26.0"
"	66fac6d57112b52af9863fc5","	25.0"
"	66e9a3d4a5f4df6a324e20c1","	25.0"
"	67d21a55b3f442066e05ad9d","	25.0"
"	66e4576b8fcbfd7feb55f2eb","	25.0"
"	68533c47a3a942594089be25","	24.0"
"	6806b93fbb56f6239add6033","	24.0"
"	67e9c4fd5441c82f39816937","	24.0"
"	67a0927841e9b93cc548b1e1","	24.0"
"	6862eead6e1c7f6c37caaf76","	24.0"
"	6825662e62ca674064b08081","	24.0"
"	686ec9daff8e99748b6fe570","	24.0"
"	67b763785cf14714e03b7ff8","	24.0"
"	66eab2fe6c41aa4095f95e4c","	24.0"
"	68211e96efdcf05166f9de05","	24.0"
"	67df3dc68a585612c5066d76","	23.0"
"	67313f7d11cd070f9e43df72","	23.0"
"	67dc445454c03a504c791c8f","	23.0"
"	67937ea8c699cd0938922944","	23.0"
"	6852f7b75f4c9d570d8f2e39","	22.0"
"	6828e0730e882b1e7d33c631","	22.0"
"	678fb6dc5ad00933f5c6a4d4","	22.0"
"	67a9f09b40d8364428171cbe","	22.0"
"	67df69620643cd7a8aa17ec5","	22.0"
"	66e451fdd9222747ddb2b322","	22.0"
"	67b860b5a965f252676ff87f","	22.0"
"	66fac73221fd6d6f34901ae3","	21.0"
"	679e535754f11b49df514c48","	21.0"
"	679a3f1f3cf85401410fdeff","	21.0"
"	67df25423f57af38d7663370","	21.0"
"	6806aed4b4259a1b1933ce57","	21.0"
"	679a6f1440d8364428170909","	21.0"
"	66eaee9e7aa611013c3bb802","	20.0"
"	679e525c41e9b93cc548affb","	20.0"
"	686d582bff8e99748b6fe4c1","	19.0"
"	679a3e8854f11b49df514770","	19.0"
"	67e9c41e95be0e4b9223e9db","	19.0"
"	67a0f7633cf85401410fe709","	19.0"
"	67b4acbd92d0c241d3aadcb4","	19.0"
"	682ce07c3e525f60b97ae165","	19.0"
"	67a0f9bd4e8c4a5d328b46b4","	18.0"
"	67df6d2efd3fec23577cf15f","	18.0"
"	6806b179b46c0a5b4e3542d1","	18.0"
"	66e9a2c28fcbfd7feb55f4b9","	17.0"
"	67ac706541e9b93cc548c5b8","	17.0"
"	67a148629f1584566fd73bdc","	17.0"
"	67df2bf33f57af38d766337d","	17.0"
"	6809868dbb56f6239add6128","	17.0"
"	67b7342a68b8db5490679d84","	17.0"
"	681a89c33e525f60b97ad99f","	17.0"
"	6806b7516010d4505cbac474","	16.0"
"	66fac57c95a1c20ce801e460","	15.0"
"	66eaec35065a5c664fce38fa","	15.0"
"	66d9817825944c2e7e661369","	15.0"
"	679a5dda40d83644281708df","	15.0"
"	67c5e00e984c214c71dc1997","	15.0"
"	66e3f62aded8e02120436459","	15.0"
"	66faca3f7112b52af9863fc8","	15.0"
"	66e4512fded8e021204364a5","	15.0"
"	68239e58d34bfb25d358fcc1","	15.0"
"	66fac92c464d7c2c1262d7ca","	15.0"
"	67df3d3695be0e4b9223e04b","	15.0"
"	66d9ad53902ae2334daa59e7","	14.0"
"	67cb862210bdd8423d639fb7","	14.0"
"	67850ac28f7fab3f76e3a9da","	14.0"
"	67cb9de8b3f442066e05a9ea","	14.0"
"	66fe7d2fcca83c52e5c2dac4","	14.0"
"	67e49e858a585612c50674ef","	14.0"
"	66e9a5731eb98874f1c8e645","	14.0"
"	6809797bb958bb5b697f9a0a","	13.0"
"	66fac74ecca83c52e5c2d8f7","	13.0"
"	66e9a8962975504ebe6567f2","	13.0"
"	66eaeb97e0940108ad8358c6","	13.0"
"	66e1b1ebe69c5e3a7f18b30a","	13.0"
"	6806ae41b46c0a5b4e3542cf","	13.0"
"	67a1497106eb6b5e76464fb0","	13.0"
"	67df32dd3f57af38d766338a","	13.0"
"	67b5cebb8c85244fa503c1e9","	13.0"
"	686c2891ff8e99748b6fe472","	13.0"
"	67af4f3eb426242eb640e32a","	12.0"
"	67d21bad5c3d1367740dac15","	12.0"
"	6830d8b9d34bfb25d35901bd","	12.0"
"	68211e2e3e525f60b97adc59","	12.0"
"	66eaeaee3b8ad842024fec27","	12.0"
"	67311a6d8a042b72b487cad7","	12.0"
"	66fac771712d3a045c67199e","	12.0"
"	66eab3db6ac6742996181cf9","	11.0"
"	67a10ece40d83644281710ae","	11.0"
"	686c2be1a0929e54572d896f","	11.0"
"	681ea332d34bfb25d358fa38","	11.0"
"	684374345c6f6b6ab5003480","	11.0"
"	67a10df141e9b93cc548b349","	11.0"
"	66e7e48fb0919b6cfaa52efa","	11.0"
"	678fb5297f0db105b4a58a6b","	11.0"
"	686c2b6648dd6a336532b9ec","	11.0"
"	683633de62ca674064b08527","	11.0"
"	67922c7977e24a7debee373f","	11.0"
"	684964457a1b2a701d633622","	10.0"
"	66fac5ef7112b52af9863fc2","	10.0"
"	68161038b958bb5b697f9ee1","	10.0"
"	5cd41c5f888b907868797b2a","	10.0"
"	66e9bc2a8fcbfd7feb55f4d5","	10.0"
"	67a147023cf85401410fe7e3","	10.0"
"	68211c9bd34bfb25d358fb66","	10.0"
"	678fd82215d01011a935f438","	10.0"
"	679a5c5754f11b49df514798","	10.0"
"	6799261754f11b49df5145e9","	9.0"
"	68687076d5352858dcb03117","	9.0"
"	6840e155ad723e68b97917cb","	9.0"
"	686831bc199a276d2990a626","	9.0"
"	66ed7f95bef35960a32252fb","	9.0"
"	679259915ad00933f5c6a825","	9.0"
"	67bbc27892d0c241d3aadec5","	9.0"
"	679e7dc104017d3ca8ca9a31","	9.0"
"	66e7e7ecded8e021204365c0","	9.0"
"	6806b8963e7fe4028a4b7cad","	8.0"
"	66facd468e8de57b9d94ab4e","	8.0"
"	66e7e0e83538d509f8cfc5c1","	8.0"
"	66facbcc712d3a045c6719a0","	8.0"
"	6788e6e29aff2e144638e458","	8.0"
"	66fac80895a1c20ce801e464","	8.0"
"	66e7e583e69c5e3a7f18b536","	8.0"
"	679ba1cb3cf85401410fe0ec","	8.0"
"	66facbeb95a1c20ce801e46a","	8.0"
"	67f973cf6010d4505cbabfd8","	8.0"
"	67562c909fdb1d17d15d2429","	8.0"
"	5cc70c80d3240b353afe51f7","	8.0"
"	68266b76350ec064a9c7d034","	8.0"
"	682666abde466a0fd55daa84","	7.0"
"	66e9b9e4e69c5e3a7f18b64a","	7.0"
"	673cfada9a05691434666e10","	7.0"
"	6801fd6cee8ac970c5d76fbb","	7.0"
"	685558d7d3575d791da9d8ce","	7.0"
"	66fac6b6464d7c2c1262d7c8","	7.0"
"	681a725462ca674064b07c26","	7.0"
"	66e9a7f1e69c5e3a7f18b63d","	7.0"
"	6787ad81b1381e7a54d852c6","	7.0"
"	67bcae8a5aaf9b69876636dd","	7.0"
"	679a74a5c699cd09389231d4","	7.0"
"	681c80e53e525f60b97adaa7","	7.0"
"	67df158050b555198ea84d5f","	7.0"
"	67fd8910b46c0a5b4e3540df","	7.0"
"	6787aeb66e14f77cf3b3f0f6","	7.0"
"	679c9d7504017d3ca8ca9897","	6.0"
"	6812f31ab4259a1b1933d29a","	6.0"
"	68293e9aa6175d3de5d4c2ee","	6.0"
"	66e9bccc43ba866de18f3f13","	6.0"
"	67a390eb3cf85401410feab6","	6.0"
"	68687119ff8e99748b6fe3e1","	6.0"
"	681a8b6dde466a0fd55da4c7","	6.0"
"	66fa9ca38e8de57b9d94ab29","	6.0"
"	67759be761d6932ec1a74797","	6.0"
"	682215a9de466a0fd55da864","	6.0"
"	686c2775a0929e54572d896a","	6.0"
"	685145d455024d34cefd5266","	6.0"
"	67a397e506eb6b5e764652bf","	6.0"
"	66facada7112b52af9863fc9","	6.0"
"	67a9fc89a48af9648e7b289f","	6.0"
"	67562c229cc67642553686d0","	6.0"
"	68097a81ee8ac970c5d771a8","	5.0"
"	67d9d0d1e96b9c5534453488","	5.0"
"	67a14b0c04017d3ca8ca9e39","	5.0"
"	673a80df11cd070f9e43e2c3","	5.0"
"	68555c17b3639b295c276638","	5.0"
"	679ba43196ca37251f2b023b","	5.0"
"	67fd941fb46c0a5b4e3540e4","	5.0"
"	66fac911712d3a045c67199f","	5.0"
"	66d980dd2ab1d71d586d7c4c","	5.0"
"	68549b9494654d25b467e339","	5.0"
"	681e41d60e882b1e7d33c2c5","	5.0"
"	58fa1b25e4b093fbff7db5d1","	5.0"
"	66faa02395a1c20ce801e443","	5.0"
"	67658287ca84ca57b0f36ab0","	5.0"
"	67b4a1a85cf14714e03b7ece","	5.0"
"	679a58c79f1584566fd73360","	5.0"
"	673cfdb9772b63700d8c9a8b","	5.0"
"	66fac8a6464d7c2c1262d7c9","	5.0"
"	679c97830321fb105fe6c0fe","	5.0"
"	67f8ead9792d2e79bfcc5204","	5.0"
"	66eaed751de8c2206d246ca8","	5.0"
"	66fac62784f2b9583673ab06","	5.0"
"	66e409baded8e0212043646a","	5.0"
"	67d8920a65b387717d633edb","	5.0"
"	66fad2e584f2b9583673ab0f","	5.0"
"	681b6733efdcf05166f9dbc9","	4.0"
"	67b4985892d0c241d3aadca0","	4.0"
"	6824da05a6175d3de5d4c1b4","	4.0"
"	681a962a893cf25ab7e1942f","	4.0"
"	67e49f2b47a3fa65b3760e41","	4.0"
"	6798a75c96ca37251f2afdae","	4.0"
"	679ca1f940d8364428170bc0","	4.0"
"	58fa3763e4b0235ae43b0fd3","	4.0"
"	66facba8cca83c52e5c2d8fa","	4.0"
"	66f2caacbb370a0c24a0fdfd","	4.0"
"	66fad6f343e81f36cd7b2ac0","	4.0"
"	66eaecf42e91330417291451","	4.0"
"	66fac6ee21fd6d6f34901ae2","	4.0"
"	681c9fdf3e525f60b97adacb","	4.0"
"	6756238120c2a074f2395213","	4.0"
"	682341233e525f60b97add3c","	4.0"
"	67a9fd3904017d3ca8caaa1c","	4.0"
"	686871c96136c5306b165841","	4.0"
"	66fac60bc9ebfa768b893511","	4.0"
"	67a978ae4ddf646a84db84f3","	4.0"
"	68256289350ec064a9c7cfe2","	4.0"
"	67d8935765b387717d633edc","	4.0"
"	683098943d91122735d3fbd2","	4.0"
"	66f2c363516aff25fc2b4fbd","	4.0"
"	6848169aad723e68b9792070","	3.0"
"	67925a5ce64eb653a443baa9","	3.0"
"	6800bbfebb56f6239add5e9c","	3.0"
"	67bde97da48af9648e7b3605","	3.0"
"	679ed58796ca37251f2b0551","	3.0"
"	6777c07574ae58369caac6ba","	3.0"
"	673751cf8dac692b4badbe9f","	3.0"
"	66eaee051eda1310b40f8eb7","	3.0"
"	68305ca20e882b1e7d33c9a3","	3.0"
"	68097dcdb958bb5b697f9a0c","	3.0"
"	687937c9199a276d2990a9f1","	3.0"
"	68305a13efdcf05166f9e294","	3.0"
"	66e40bdd3538d509f8cfc4a4","	3.0"
"	67cb9d4f5c3d1367740da794","	3.0"
"	67a20eaa3281eb373ee357e1","	3.0"
"	67657c0a563c090869637bc7","	3.0"
"	66faca26c9ebfa768b893516","	3.0"
"	67657dffca84ca57b0f36aaa","	3.0"
"	66d983c9620bb875519ec14f","	3.0"
"	681c81910e882b1e7d33c20f","	3.0"
"	66fad91921fd6d6f34901af2","	3.0"
"	67989d8196ca37251f2afd8f","	3.0"
"	678fd680c66ac51932da12e3","	3.0"
"	680eccb0e5a5d9791105961e","	3.0"
"	66eae8e7c621911e76f9e553","	3.0"
"	681a8d88de466a0fd55da4ca","	3.0"
"	681c81383e525f60b97adaa9","	3.0"
"	66fac82b95a1c20ce801e465","	3.0"
"	66e4126dded8e02120436472","	3.0"
"	677809ccca84ca57b0f36edc","	3.0"
"	67ab656198259032b88f8c73","	3.0"
"	66e9a6bfded8e021204366a4","	3.0"
"	682566fbd34bfb25d358fd68","	3.0"
"	67e6948a3f57af38d7663b4b","	2.0"
"	66d983136cae853bfd9eb263","	2.0"
"	66fa9d408e8de57b9d94ab2a","	2.0"
"	67a0ac510321fb105fe6c4e5","	2.0"
"	6800213aee8ac970c5d76f35","	2.0"
"	687ab6336136c5306b165d57","	2.0"
"	66facdbd8e8de57b9d94ab50","	2.0"
"	6822f9413e525f60b97add10","	2.0"
"	67655b7e74ae58369caac266","	2.0"
"	67937f2304017d3ca8ca8d16","	2.0"
"	6781bcaf2ff65e0a465c8c64","	2.0"
"	68098637b958bb5b697f9a10","	2.0"
"	68266bdc0e882b1e7d33c593","	2.0"
"	68374b7e893cf25ab7e1a045","	2.0"
"	67977e4d40d83644281703d6","	2.0"
"	6776c2e9b815ad6affbffacb","	2.0"
"	67ab65777b4de10c7f58ff53","	2.0"
"	6731165e16b3af679b79dcca","	2.0"
"	680eee893175fb6967ec29c2","	2.0"
"	67360a7acdfdbd6717aedc3b","	2.0"
"	6822fa1a62ca674064b07f62","	2.0"
"	68307aa1de466a0fd55dae03","	2.0"
"	67813c260aae274664c1fe72","	2.0"
"	681c7e4eefdcf05166f9dc43","	2.0"
"	681e06fbde466a0fd55da6ae","	2.0"
"	67842078291bcc7eee8742ed","	2.0"
"	679a5538e9f87b77db6b9312","	2.0"
"	680b58efbb56f6239add61db","	2.0"
"	67c1b54192d0c241d3aae122","	2.0"
"	66facb83464d7c2c1262d7cc","	2.0"
"	67a368eaf51d1518eeef13f8","	2.0"
"	66e7e70dd9222747ddb2b40c","	2.0"
"	679c9cf541e9b93cc548ae6b","	1.0"
"	67e5eef620c2fb7e2c1659c7","	1.0"
"	6777bbe861d6932ec1a74820","	1.0"
"	681e6dff62ca674064b07dca","	1.0"
"	67ff5af1ee8ac970c5d76ea0","	1.0"
"	680ba73ebb56f6239add6228","	1.0"
"	672dd85611cd070f9e43de4a","	1.0"
"	679797809f1584566fd72eda","	1.0"
"	67bde48440d8364428172ae4","	1.0"
"	681b192f350ec064a9c7cc89","	1.0"
"	67768b7361d6932ec1a747d3","	1.0"
"	679a581a40d83644281708d4","	1.0"
"	678536954a117054a994238e","	1.0"
"	6777cfe2b815ad6affbffb20","	1.0"
"	681de2173d91122735d3f5e5","	1.0"
"	66eaef5e8ef9d80059d4e442","	1.0"
"	66d981ead4c3165189fa3e53","	1.0"
"	6756231145fa343ca9f6f85c","	1.0"
"	677806fbca84ca57b0f36ed8","	1.0"
"	67562d639cc67642553686d1","	1.0"
"	681e1f103d91122735d3f606","	1.0"
"	6762ad1485e12f1765a66d55","	1.0"
"	67b493e7a965f252676ff71e","	1.0"
"	67657c66758dd553f9c2be17","	1.0"
"	6877b093725eee4c337edca2","	1.0"
"	680ad378b46c0a5b4e35443d","	1.0"
"	66fa9d71c9ebfa768b8934eb","	1.0"
"	673cfa829a05691434666e0f","	1.0"
"	66fade73464d7c2c1262d7d8","	1.0"
"	6784283768484868e53f9fd6","	1.0"
"	678fd8e6d8010159511f5ca9","	1.0"
"	673758b773ad8d3614936de3","	1.0"
"	6785218d4a117054a9942375","	1.0"
"	677eb5aa563c09086963820f","	1.0"
"	679233315ad00933f5c6a7d7","	1.0"
"	67768b35b815ad6affbffab6","	1.0"
"	677eb2158c87d2191c0f5cd1","	1.0"
"	66fa9de87112b52af9863f9b","	1.0"
"	681a388f0e882b1e7d33c0cc","	1.0"
"	6839aeb77ecd4e71abd58018","	1.0"
"	683f68e95c6f6b6ab50031e5","	1.0"
"	683095850e882b1e7d33c9dc","	1.0"
"	677d365a8c87d2191c0f5c34","	1.0"
"	680ac85b3175fb6967ec28de","	1.0"
"	681bba470e882b1e7d33c1a1","	1.0"
"	67913b5f5ad00933f5c6a6af","	1.0"
"	68374c06de466a0fd55db0b1","	1.0"
"	681e24aade466a0fd55da6c3","	1.0"
"	67732fe861d6932ec1a7472b","	1.0"
"	682667233d91122735d3f8cb","	1.0"
"	680ae941b958bb5b697f9ac2","	1.0"
"	67e694de8d51f00d4bc8f588","	1.0"
"	677eb778758dd553f9c2c499","	1.0"
"	679a41520321fb105fe6bdfd","	1.0"
"	6792346cd8010159511f5f38","	1.0"
"	673759a073ad8d3614936de4","	1.0"
"	6772af95d5e68d691634f573","	1.0"
"	68157ad43175fb6967ec2c8d","	1.0"
"	676590326c0bed6b6dc9c534","	1.0"
"	680ef3cbbb56f6239add632c","	1.0"
"	673a7ed477b47a4cd0884e45","	1.0"
"	673d01acf6f41572a311f3a4","	1.0"
"	677e6605d5e68d691634f8b6","	1.0"
"	66facc2e712d3a045c6719a1","	1.0"
"	67656f666c0bed6b6dc9c517","	1.0"
"	6773386eed303a0c1cd5e73a","	1.0"
"	686ffd0d7c52361046b2b7d0","	1.0"
"	6799254454f11b49df5145e7","	1.0"
"	677676c7563c090869637f5c","	1.0"
"	677eb5338c87d2191c0f5cd5","	1.0"
"	66e4082f1eb98874f1c8e410","	1.0"
"	680ad2b13e7fe4028a4b7e46","	1.0"
"	66faced084f2b9583673ab0c","	1.0"
"	681c7dccd34bfb25d358f941","	1.0"
"	687b6332725eee4c337edda0","	1.0"
"	678fa8e5c66ac51932da12a0","	1.0"
"	6854a18792228930bed19c0c","	1.0"
"	6799267454f11b49df5145eb","	1.0"
"	675c82a1fc7a5f6c2ff8489f","	1.0"
"	67fd92deb4259a1b1933cc76","	1.0"
"	6765661e758dd553f9c2bdfe","	1.0"
